No.,Day,DD,MMM,YYYY,N1,N2,N3,N4,N5,N6,BN,Jackpot,Wins,Machine,Set
No.," Day",DD,MMM,YYYY," N1",N2,N3,N4,N5,N6,BN,"   Jackpot"," Wins","   Machine  ",Set
2902," Sat",14,Oct,2023,31,4,28,27,51,57,48,3800000,0,"   Arthur   ",4
2901," Wed",11,Oct,2023,18,25,3,15,23,8,58,2000000,1,"   Arthur   ",4
2900," Sat",7,Oct,2023,20,47,10,22,16,52,26,3994329,1,"   Arthur   ",3
2899," Wed",4,Oct,2023,55,42,53,3,8,37,46,2000000,0,"   Arthur   ",3
2898," Sat",30,Sep,2023,40,14,8,24,1,20,52,3800000,1,"   Merlin   ",2
2897," Wed",27,Sep,2023,31,11,8,20,44,10,28,5238028,1,"   Merlin   ",2
2896," Sat",23,Sep,2023,34,58,12,37,41,55,13,4001306,0,"   Merlin   ",1
2895," Wed",20,Sep,2023,52,9,42,37,18,34,50,2000000,0,"   Merlin   ",1
2894," Sat",16,Sep,2023,31,17,7,22,24,59,50,7441399,1,"   Arthur   ",4
2893," Wed",13,Sep,2023,7,23,42,29,31,10,6,5269228,0,"   Arthur   ",4
2892," Sat",9,Sep,2023,43,39,59,49,15,20,56,4015491,0,"   Arthur   ",3
2891," Wed",6,Sep,2023,53,12,22,54,38,3,28,2000000,0,"   Arthur   ",3
2890," Sat",2,Sep,2023,9,46,55,11,49,53,16,20000000,0,"   Merlin   ",2
2889," Wed",30,Aug,2023,19,59,20,48,25,11,41,5048828,0,"   Merlin   ",2
2888," Sat",26,Aug,2023,13,42,12,41,50,45,43,3800000,0,"   Merlin   ",1
2887," Wed",23,Aug,2023,23,16,57,32,13,37,15,5106856,1,"   Merlin   ",1
2886," Sat",19,Aug,2023,31,28,7,37,17,2,8,3800000,0,"   Arthur   ",4
2885," Wed",16,Aug,2023,8,51,10,43,32,59,26,2000000,1,"   Arthur   ",4
2884," Sat",12,Aug,2023,39,17,25,24,21,14,44,11868266,0,"   Arthur   ",3
2883," Wed",9,Aug,2023,34,16,10,29,48,24,54,9178739,0,"   Arthur   ",3
2882," Sat",5,Aug,2023,22,5,38,50,28,58,2,7706455,0,"   Merlin   ",2
2881," Wed",2,Aug,2023,21,23,49,5,10,35,16,5396374,0,"   Merlin   ",2
